Mês / Ano de Referência;Entidade;UC/CNPJ;Total Repassado
mar/17;SENAI;33.564.543/0001-90;112145703
mar/17;SESI;33.641.358/0001-52;160025709
mar/17;SENAC;33.469.172/0001-68;208339070
mar/17;SESC;33.469.164/0001-11;379113965
mar/17;SEBRAE;00.330.854/0001-45;249394900
mar/17;EMBRATUR;35.842.428/0001-66;0
mar/17;DPC;852001 / 00001;11795997
mar/17;ANAC;122002 / 00001;18305695
mar/17;SENAR;37.138.245/0001-90;48325796
mar/17;SEST;73.471.989/0001-95;35984706
mar/17;SENAT;73.471.963/0001-47;22577514
mar/17;SESCOOP;03.087.543/0001-86;26526808
mar/17;SDR;420013 / 00001;19238563
mar/17;APEX-BR;05.507.500/0001-38;36298898
mar/17;ABDI;07.200.966/0001-11;5926422
abr/17;FNDE;153173 / 15253;1560713935
abr/17;INCRA;373001 / 37201;110767847
abr/17;SENAI;33.564.543/0001-90;113425258
abr/17;SESI;33.641.358/0001-52;161952385
abr/17;SENAC;33.469.172/0001-68;210355750
abr/17;SESC;33.469.164/0001-11;379964945
abr/17;SEBRAE;00.330.854/0001-45;250714994
abr/17;EMBRATUR;35.842.428/0001-66;0
abr/17;DPC;852001 / 00001;12709295
abr/17;ANAC;122002 / 00001;17685865
abr/17;SENAR;37.138.245/0001-90;64552019
abr/17;SEST;73.471.989/0001-95;37524795
abr/17;SENAT;73.471.963/0001-47;23668078
abr/17;SESCOOP;03.087.543/0001-86;26601654
abr/17;SDR;420013 / 00001;19534962
abr/17;APEX-BR;05.507.500/0001-38;36542570
abr/17;ABDI;07.200.966/0001-11;5966232
mai/17;FNDE;153173 / 15253;1535979498
mai/17;INCRA;373001 / 37201;109261366
mai/17;SENAI;33.564.543/0001-90;112748383
mai/17;SESI;33.641.358/0001-52;160104982
mai/17;SENAC;33.469.172/0001-68;206526797
mai/17;SESC;33.469.164/0001-11;372910277
mai/17;SEBRAE;00.330.854/0001-45;248935171
mai/17;EMBRATUR;35.842.428/0001-66;0
mai/17;DPC;852001 / 00001;12216827
mai/17;ANAC;122002 / 00001;17277805
mai/17;SENAR;37.138.245/0001-90;83955034
mai/17;SEST;73.471.989/0001-95;38292139
